condition,sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,taskQuestion,correctAnswer,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
in-situ.23,هو كان البيطري الشاطر عالج مين من مرضة العيادة؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.24,هو كان الراجل المحترم بيحب مين من بنات الجيران؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.33,هو كان الكاتب المثقف بيترجم مين من الكتاب الكبار,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.34,هو كانت الموظفة الشقيانة بتساعد مين في المشروع المتأخر؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.35,هو كانت البنت المتأخرة مستنيه مين عشان يجهز؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.36,هو كانت الصحفية العنيدة بتعارض مين في المقال النهاردة؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
in-situ.37,هو كانت الشاعرة الحساسة بتوصف مين في الديوان المشهور؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.63,ايه الي كانت الرسامه المبدعة بترسمه في المسابقة المدرسية؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.65,ايه الي كان الولد الشقي بيكسره في أوضة اللعب؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.67,ايه الي كان التاجر الغني بيشتريه من سوق الذهب؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.68,ايه الي كان الطباخ المحترف بيجزه في المطبخ الجديد؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.69,ايه الي كان المغني المشهور بيغنىيه في الحفلة النهردة؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.70,ايه الي كان الدكتورالمشغول بيعالجه في عيادة العظام؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.73,ايه الي كان الولد الصغير بيشتريه من الدكان العصر؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.74,ايه الي كان الكهربائي الكويس بيصلحه في محل الالكترونيات؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.75,ايه الي كان المدرب العطشان بيشربه في ملعب الكوره؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.76,ايه الي كانت المعلمة الذكية بتقراه ايه في المكتبه الهادية؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.77,ايه الي كان الولد الكسلان بيتابعه على تلفزيون الصالة؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.78,ايه الي كان المصور الفنان بيصوره علي مسرح القاعة؟,2,0,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.79,ايه الي كان الرسام المحترف بيرسمه علي الحطان؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.80,ايه الي كان التاجر النصاب يبيعه في سوق الخضار؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.82,ايه الي كانت الست الرغايه بتقوله في عزومة العيلة؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.61,مين الي كانت الست الطيبة بتساعده في غرفة الطواري؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.62,مين الي كانت البنت النشيطة بتارضه في جنينة الحي؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.64,مين الي كانت الست العجوزة مستنياه في العيادة الزحمة؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.66,مين الي كان الصياد الشجاع بينقذه من نص البحر؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.71,مين الي كان المشجع المتحمس بيشجعه في بطولة الرماية؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.72,مين الي كانت الأم الحنونة بتحضنه في المدرسة الابتدائية؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.81,مين الي كان الولد الضايع بيضربه في المول الكبير؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.83,مين الي كانت العجوزة العصبية بتهزءه في سوق القماش؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.84,مين الي كان الراجل البخيل يبفاصله في محل العطور؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.85,مين الي كان المدرس الشديد بيهزءه في الصف الصبح؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.86,مين الي كان الممثل المشهور بينافسه في الاوسكار الاخير؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.87,مين الي كان الشاعر المعروف بيغازله في المهرجان الصيفي؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.88,مين الي كان العجوز الطيب بيساعده في السوبرماركت؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.89,مين الي كانت العميلة المزعجة بتهزءه على الخط الاساسي؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
cleft.90,مين الي كان المراهق الشيطان بيضربه في شارع الحي؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.26,هو كانت الست المستعجلة نست التليفون في البيت فوق؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.27,هو كانت المدرسة البشوشه تغني النشيد في الطابور الصبح؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.28,هو كانت المحامية الجريئة بتعرض الحقيقه في جلسة المحكمه؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.29,هو كان الممرض القلوق بيراجع الحالات ابل النبطشية الجيه؟,3,0,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.30,هو كان المهندس المصاب شايل البضاعه ابل الحادثه الكبيرة؟,4,0,0,0,1,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.31,هو كان الجار الودود اخد هدية من الجران الجداد؟,4,0,0,0,1,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.32,هو كان المصور الطموح بيصور الغابة عشان يطور الاستوديو؟,4,0,0,0,1,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.46,هو كان المذيع اللبق بيسأل الضيوف على الاذاعة الصباحية ؟,4,0,0,0,1,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.48,هو كان الطالب الشاطر بيذاكر الرياضة في مكتبة الجامعة؟,4,0,0,0,1,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.50,هو كانت الست المستعجله بتشوف العصاير في السوبرماركت الجديد؟,4,0,0,0,1,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.51,هو كانت الام المشغوله بطبخ الغدا في المطبخ الخارجي؟,4,0,0,0,1,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.54,هو كان الطالب المشغول بيحل الواجب في قاعة المدرسة؟,4,0,0,0,1,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.58,هو كان الولد الخايف سامع اصوات في البيت المسكون؟,4,0,0,0,1,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.59,هو كانت المستشارة المتسامحة بتشرح السياسات في أوضة الاجتماعات؟,4,0,0,0,1,0,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.60,هو كان الطالب الذكي بيحل الامتحان في قاعة الامتحان؟,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.38,هو كانت المذيعة اللطيفة بتكلم الفنانة على الراديو الصبح؟,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.39,هو كانت الملكة العادله بتفضل الاقدم من الوزرة الملكين؟,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.40,هو كانت المراسلة المهمة وصلت الخادم من سكان القصر؟,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.41,هو كانت الكوفايرة المتمرسة بتعتبر الاطفال من الزباين المزعجين,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.42,هو كان المحاسب المشغول عين مساعد عشان يخفف الضغط؟,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.43,هو كان الجد الحنون بيحضن الولد عشان يبطل عياط؟,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.44,هو كان الجراح الخبير بيعالج الكبتن من الفريق الوطني؟,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.45,هو كان الحرامي المسجون سارئ الدكتور من سكان الكمبوند؟,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.47,هو كانت البنت التعبانة بتنادي الشيخ في مسجد المحطه؟,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.49,هو كان الشخص العيان مستني الدكتور في المستشفى الصغيرة؟,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.52,هو كان الراجل القوي بيساعد المصابين في مكان الحادثة؟,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.53,هو كانت البنت الجعانة مستنية الجرسون في المطعم الهندي؟,5,0,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
yn.55,هو كان السواق المشتت خبط الحاجز في الباركنج الزحمة؟,6,0,0,0,0,0,1,0,0,,,20,0,0,0,0,0,0,1,1
yn.56,هو كان المدير القاسي بيطرد الموظف في اجتماع الشغل؟,6,0,0,0,0,0,1,0,0,,,20,0,0,0,0,0,0,1,1
yn.57,هو كان الراجل الشبعان مستني السواق عند كاشير المطعم؟,6,0,0,0,0,0,1,0,0,,,20,0,0,0,0,0,0,1,1
BVA.01,كل طالبة مجتهدة بتكافئ نفسها بعد الامتحان,6,0,0,0,0,0,1,0,0,,,20,0,0,0,0,0,0,1,1
BVA.02,كل رياضية أولمبية بتشوف نفسها في الجرنان,6,0,0,0,0,0,1,0,0,,,20,0,0,0,0,0,0,1,1
BVA.03,كل مرشدة سياحية بتصور نفسها عند الاثار,6,0,0,0,0,0,1,0,0,,,20,0,0,0,0,0,0,1,1
BVA.04,كل شيف محترفة بتأكل نفسها من الأكل,6,0,0,0,0,0,1,0,0,,,20,0,0,0,0,0,0,1,1
BVA.05,كل بنت عطشانة بتشرب نفسها من الكوباية,6,0,0,0,0,0,1,0,0,,,20,0,0,0,0,0,0,1,1
BVA.06,كل وزيرة جديدة بتكلم نفسها ابل الخطاب,6,0,0,0,0,0,1,0,0,,,20,0,0,0,0,0,0,1,1
BVA.07,كل ست شجاعة بتحب نفسها في المجتمع,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.08,كل مسجونة ندمانة بتسامح نفسها بعد الخروج,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.09,كل دكتورة جامعية بتعاين نفسها بعد المحاضرة,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.10,كل مديرة طموحا بترشح نفسها عشان المركز,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.11,كل مغنية مشهورة بتشجع نفسها قبل الاستعراض,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.12,كل أم قلوقة بتحاسب نفسها علي الحوادث,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.13,كل رسامة معروفة بترسم نفسها عشان تتشهر,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.14,كل ممرضة مبتدئة بتتحدى نفسها في الشغل,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.15,كل ممثلة صوتية بتسمع نفسها في الافلام,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.76,كل رسام صبور بيمرن نفسه في الورشة,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.76,كل رياضي مهتم بيحسن نفسه قبل المسابقة,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.78,كل متسلق خبير بيرتب نفسه قبل التسلق,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.79,كل اب غايب بيلوم نفسه على الغياب,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.80,كل مجرم سفاح بيخبي نفسه من المباحث,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.81,كل مريض معدي بيحبس نفسه في الحجر,10,1,0,1,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.82,كل موظف ناجح بيتعب نفسه عشان النجاح,9,1,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.83,كل طالب متوتر بيطمن نفسه بعد المذاكرة,9,1,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.84,كل مدير مهموم بيهلك نفسه عشان النجاح,9,1,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.85,كل دكتور حريص بيعقم نفسه قبل العمليات,9,1,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.86,كل سواق مشتت بيعاتب نفسه بعد الحادثة,9,1,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.87,كل ممثل مغرور بيمدح نفسه بعد العرض,9,1,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.88,كل شيف محترف بيطور نفسه في المطعم,9,1,1,0,0,0,0,0,0,,,20,0,0,0,0,0,0,1,1
BVA.89,كل مبتدئ مهتم بيغير نفسه عشان التطور,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
BVA.90,كل مدمن متعالج بيعاقب نفسه عشان الغلط,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.30,الرياضية المبتدأه بتهيأ نفسها قبل التمرين,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.31,المحاسبة الجديدة بتعلم نفسها عشان التفوق,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.32,المسافرة المتحمسة بتجهز نفسها قبل الرحلة,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.33,العالمة الحريصة بتحمي نفسها قبل التجارب,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.34,المحامية المهمله بتلوم نفسها على الخساره,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.35,الطفلة الشقيه بتخبي نفسها من العقاب,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.36,الممرضه المصابة بتحبس نفسها في المستشفى,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.37,الملكة المخلصة بتحسن نفسها عشان الشعب,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.38,المديره المهتمه بتريح نفسها بعد النجاح,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.39,المستشاره المتعمقة بتهلك نفسها عشان العميل,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.40,القائدة المهتمه بتعاتب نفسها بعد الفشل,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.41,المربية المسؤوله بتحمل نفسها عشان الولاد,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.42,الرياضة الحريفة بتشجع نفسها عشان تكسب,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.43,المحامية الشغوفه بتطور نفسها عشان القضايا,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.44,الممثلة المخلصة بتغير نفسها عشان الدور,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.60,السواء الاوبر بيراجع نفسه قبل الرحلة,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.62,الموسيقار الحساس بيسمع نفسه في التسجيلات,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.63,الراجل اللغني بيدلع نفسة بعد الشغل,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.64,الصيدلي العيان بيعالج نفسه في الصيدلية,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.65,السواق الجديد بيفكر نفسه قبل الامتحان,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.66,المهندس الذكي بيجهز نفسه قبل المشروع,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.67,العجوز الحكيم بيعلم نفسه من الحياة,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.68,المدرس المضغوط بيريح نفسة بعد الامتحانات,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.69,الغطاس القديم بيحمي نفسه من الخطر,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.70,الباريستا المحترف بيتور نفسه عشان الزباين,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.71,المجرم الجريئ بيهيئ نفسه قبل الجريمة,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.72,الممثل المتحمس بيحفز نفسه قبل المسرحيه,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.73,المبرمج المحترف بيدرب نفسه على البروجرام,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.74,الممرض المنتبه بينظف نفسه بين الشفتات,7,0,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
RA.75,الشخص الجبان بيشجع نفسه قبل المواجهة,14,1,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
NP.16,كل عروسة جديدة بتدلع العريس قبل الفرح,14,1,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
NP.17,كل دكتورة كبيرة بتعالج المرضى في المستشفى,14,1,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
NP.61,كل محامية متوترة بتراجع المتهم قبل الجلسة,14,1,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
NP.18,كل مريضة متوترة بتطمن الدكتور بعد العلاج,14,1,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
NP.19,كل جراحة حريصة بتحفز الممرضين قبل العملية,14,1,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
NP.20,كل ممثلة قديرة بتكرر الشخصية في الأدوار,14,1,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
NP.21,كل خياطة معروفة بتور المبتدئين عشان الزباين,14,1,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
NP.22,الطالبة المجتهدة بتنتقد نفسها بعد الحصة,14,1,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
NP.23,كل ام مقصره بتعاقب الولاد على التقصير,14,1,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
NP.24,كل دكتورة تجميل بتجمل المرضى عشان التسويق,14,1,0,0,0,0,0,1,0,,,20,0,0,0,0,0,0,1,1
NP.25,كل مصورة مبدعة بتدرب المتعلمين على الزوايا,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.26,كل مغنية مشهوره بتهيء الفرقه قبل الحفلة,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.27,كل مدرسة مجتهدة بترتب الطلاب قبل الحصص,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.28,كل طفلة صغيرة بتأكل العروسة عشان تتعلم,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.29,كل رسامة مبهرة بتنظف الولاد بعد الرسم,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.45,كل مسلمة ملتزمة بتفكر عشان الصلاة,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.46,كل موظف شقيان بيكافئ المساعدين بعد المشروع,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.47,كل ممثل مشهور بيشوف الزملاء في المسلسلات,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.48,كل راقص متمرس بيصور المدرب في التمارين,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.49,كل طفل صغير بيأكل القطة في الحضانة,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.50,كل اهوجي تعبان بيشرب الزباين من القهوة,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.51,كل مذيع شاطر بيكلم المخرج عشان يتمرن,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.52,كل مغني مغرور بيحب الجمهور في الاستعراض,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.53,كل ولد غلطان بيسامح الاهل بعد العقاب,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.54,كل موظف مركز بينتقد الفريق بعد المشروع,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.55,كل سياسي جاهز بيرشح المرشح عشان الانتخابات,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.56,كل رياضي متحمس بيعاين الفريق بعد المباراة,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.57,كل مجرم مسجون بيحاسب المحامي على الحبسة,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.58,الولد الصغير بيرسم الام في الرسمة,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
NP.59,كل كاتب محبوب بيتحدى الشخصياة عشان يتحسن,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
BA.1,لما هي كانت في المستشفى الممرضة نصحت العيان,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
BA.2,لما هي كانت في الحضانة المدرسة علمت الاطفال,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
BA.3,لما هي كانت في الجنينة الناني فسحت الولاد,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
BA.4,لما هي كانت علي الطيارة المضيفة ساعدت المسافرين,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
BA.5,لما هي كانت في المكتب السكرتيرة نظمت المستندات,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
BA.6,لما هي كانت في الاستوديو المذيعة حيت الجمهور,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
BA.7,لما هي كانت في اللوكيشن الممثلة خالفت الكاتب,12,1,0,0,0,1,0,0,0,,,20,0,0,0,0,0,0,1,1
