sentence,trigger,taskQuestion,correctAnswer
المتدرب المصر يعلم نفسه عشان يتطور,171, ,
الرسامة المبهرة تنظف نفسها بعد الرسم,131, ,
الرياضية المبتدئة تقنع نفسها قبل التمرين,111,,
المحاسبة الجديدة تعلم نفسها عشان تتفوق,21,Was there a rollercoaster?,
المسافرة المتحمسة تجهز نفسها قبلها بفترة,71, ,
العالمة الحريصة تحمي نفسها قبل التجارب,41, ,
المدمن المتشافي يسامح نفسه عشان يتخطى,21, ,
المحامية المهملة تلوم نفسها على الخسارة,131, ,
الطفلة المشاغبة تخفي نفسها من العقاب,131,Was someone fired?,
الممثل المخلص يجمل نفسه لمتطلبات الدور,111, ,
الممرضة المصابة تحبس نفسها فترة المرض,231, ,
الملكة المخلصة تلزم نفسها لخدمة شعبها,171,Did she put something on?,
المديرة المهتمة تطمن نفسها بنجاح موظفيها,31, ,
المستشارة المتعمقة تهلك نفسها لصحة مرضاها,11,Was there a compliment?,
المسؤولة المهتمة تعاتب نفسها لفشل الموظفين,31, ,
المربية المسؤولة تحمل نفسها ذنب الضرر,11, ,
الصحفية المتنافسة تمدح نفسها عشان تفوز,211, ,
المحامية الشغوفة تطور نفسها مع القضايا,41, ,
المسلم الملتزم يذكر نفسه بتوقيت الصلاة,61, ,
كل باريستا محترف يدرب الموظفين للنقش عالقهوه,211, ,
كل مجرم جريئ يهيئ شريكه نفسياً قبل الجريمة,181, ,
كل ممثل شغوف يراجع مدربه قبل المسرحيه,231, ,
كل مبرمج شغوف يطور طلابه لحل المشكلات,111,Was someone deleted from the list?,
كل طالبة مجتهده تعلم زميلتها بعد الحصة,111,,
كل ممرض منتبه ينظف مريضه بين الشفتات ,21, ,
كل شخص خواف يقنع صديقة يواجه مخاوفه ,61, ,
كل رسام محترف يعلم المبتدأين الرسم بالتدريج,111, ,
كل رياضي مهتم يجهز فريقه قبل المسابقة,211,Did Larry circulate a note?,
كل متسلق خبير يحمي زميله قبل التسلق ,111, ,
كل ام مقصره تسامح عيالها على التقصير,11, ,
كل اب غايب يلوم حرمته لزعل عياله,31,Was there feedback from the buyers?,
كل مجرم سفاح يخفي ضحيته من المباحث ,41, ,
كل دكتورة تجميل تجمل مرضاها عشان التسويق ,131, ,
كل مريض مُعادي يحبس اهله في الحجر ,31, ,
كل موظف ناجح يلزم فريقه لنجاح شغله,21, ,
كل طالب متوتر يطمن اهله بعد الدراسة,181, ,
كل مدير مهموم يهلك موظفينه عشان يخلص ,71, ,
كل دكتور يخطء يعاتب الممرضين بعد العمليات,41,Did the charity close down?,
كل مسبب لحادث يحمل غيره ذنب الاذى,11,Was the email from the lawyer?,
كل ممثل مغرور مدح المخرج وقت العرض,231,Did Carl help a relative?,
كل طباخ محترف يطور مساعدينه لأحتياجات المطعم ,211, ,
كل مصوره مبدعه تدرّب المتعلمين على زوايا ,131, ,
كل مغنية مشهوره تهيء الفرقه قبل الحفل,171, ,
كل مدرسة مرتبة تراجع لطلابها لتحضير الحصص,231, ,
كل طفله تنضج تاكل دميتها عشان تتعلم,,,
كل متدرب مُصر يعلم نفسه عشان يتطور,231, ,
كل رسامه مبهره تنظف نفسها بعد الرسم,41, ,
كل رياضيه مبتدأه تقنع مدربها قبل التمرين,171, ,
كل محاسبه يديده تلعم زميلتها عشان تتفوق ,21, ,
