sentence,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,taskQuestion,correctAnswer
كل مريض معدي بيحبس نفسه في الحجر,227,0,0,0,1,0,0,0,0,,
كل موظف ناجح بيلزم نفسه عشان النجاح,228,0,0,0,0,1,0,0,0,,
كل طالب متوتر بيطمن نفسه بعد الدراسة,229,0,0,0,0,0,1,0,0,,
كل مدير مهموم بيهلك نفسه عشان النجاح,230,0,0,0,0,0,0,1,0,,
كل دكتور غلطان بيعاتب نفسه بعد العمليات,231,0,0,0,0,0,0,0,1,,
كل سواق مشتت بيعاتب نفسه بعد الحودثة,224,1,0,0,0,0,0,0,0,,
كل ممثل مغرور بيمدح نفسه بعد العرض,225,0,1,0,0,0,0,0,0,,
كل شيف محترف بيطور نفسه في المطعم,226,0,0,1,0,0,0,0,0,,
كل مصوره مبدعه بتدرب نفسها على زوايا,227,0,0,0,1,0,0,0,0,,
كل مغنية مشهوره بتهيء نفسها قبل الحفلة,228,0,0,0,0,1,0,0,0,,
كل مدرسة مرتبة بتراجع نفسها قبل الحصص,229,0,0,0,0,0,1,0,0,,
كل طفله صغيرة بتاكل نفساه عشان تتعلم,230,0,0,0,0,0,0,1,0,,
كل مبتدئ مصر بيعلم نفسه عشان التطور,231,0,0,0,0,0,0,0,1,,
كل رسامه مبهره بتنظف نفسها بعد الرسم,224,1,0,0,0,0,0,0,0,,
كل رياضيه مبتدأه بيهيأ نفسها قبل التمرين,225,0,1,0,0,0,0,0,0,,
كل محاسبه جديده بتلعم نفسها عشان التفوق,226,0,0,1,0,0,0,0,0,,
كل مسافره متحمسه بتجهز نفسها قبل الرحلة,227,0,0,0,1,0,0,0,0,,
كل عالمة حرصه بتحمي نفسها قبل التجارب,228,0,0,0,0,1,0,0,0,,
كل مدمن متعالج بيسامح نفسه عشان التحسن,229,0,0,0,0,0,1,0,0,,
كل محامية مهمله بتلوم نفسها على الخساره,230,0,0,0,0,0,0,1,0,,
كل طفلة شقيه بتخبي نفسها من العقاب,231,0,0,0,0,0,0,0,1,,
كل ممثل مخلص بيجمل نفسه عشان الدور,224,1,0,0,0,0,0,0,0,,
كل ممرضه مصابة بتحبس نفسها في المستشفى,225,0,1,0,0,0,0,0,0,,
كل ملكة مخلصة بتحسن نفسها عشان الشعب,226,0,0,1,0,0,0,0,0,,
كل مديره مهتمه بتطمن نفسها بعد النجاح,227,0,0,0,1,0,0,0,0,,
كل مستشاره متعمقة بتهلك نفسها عشلن العميل,228,0,0,0,0,1,0,0,0,,
كل قائدة مهتمه بتعاتب نفسها بعد الفشل,229,0,0,0,0,0,1,0,0,,
كل مربية مسؤوله بتحمل نفسها عشان الولاد,230,0,0,0,0,0,0,1,0,,
كل رياضة حريفة بتمدح نفسها عشان تفوز,231,0,0,0,0,0,0,0,1,,
كل محامية شغوفه بتطور نفسها مع القضايا,224,1,0,0,0,0,0,0,0,,
كل مسلم ملتزم بيفكر نفسه عشان الصلاة,225,0,1,0,0,0,0,0,0,,
الموظف شقيان بيكافئ نفسه بعد المشروع,226,0,0,1,0,0,0,0,0,,
الطالبة المجتهدة بتكافئ نفسها بعد الامتحان,227,0,0,0,1,0,0,0,0,,
الممثل المشهور بيشوف نفسه في المسلسلات,228,0,0,0,0,1,0,0,0,,
الرياضية الأولمبية بتشوف نفسها في الجرنان,229,0,0,0,0,0,1,0,0,,
الراقص المتمرس بيصور نفسه في التمارين,230,0,0,0,0,0,0,1,0,,
المرشدة السياحية بتصور نفسها عند الاثار,231,0,0,0,0,0,0,0,1,,
الطفل الصغير بيأكل نفسه في الحضانة,224,1,0,0,0,0,0,0,0,,
الشيف المحترف بتأكل نفسها من الطبيخ,225,0,1,0,0,0,0,0,0,,
الاهوجي التعبان بيّشرب نفسه من القهوة,226,0,0,1,0,0,0,0,0,,
البنت العطشانة بتشرب نفسها من الكوباية,227,0,0,0,1,0,0,0,0,,
المذيع الشاطر بيكلم نفسه عشان يتمرن,228,0,0,0,0,1,0,0,0,,
الوزيرة الجديدة بتكلم نفسها ابل الخطاب,229,0,0,0,0,0,1,0,0,,
المغني المغرور بيحب نفسه في الاستعراض,230,0,0,0,0,0,0,1,0,,
الست الشجاعة بتحب نفسها في المجتمع,231,0,0,0,0,0,0,0,1,,
الولد الغلطان بيسامح نفسه بعد العقاب,224,1,0,0,0,0,0,0,0,,
المسجونة الندمانة بتسامح نفسها بعد الخروج,225,0,1,0,0,0,0,0,0,,
الموظف المركز بيعاين نفسه بعد المشروع,226,0,0,1,0,0,0,0,0,,
الدكتورة الجامعية ببيعاين نفسها بعد المحاضرة,227,0,0,0,1,0,0,0,0,,
السياي الجاهز بيرشح نفسه عشان الانتخابات,228,0,0,0,0,1,0,0,0,,
المديرة الطموحا بترشح نفسها عشان المركز,229,0,0,0,0,0,1,0,0,,
الرياضي المتحمس بيشجع نفسه في المباراة,230,0,0,0,0,0,0,1,0,,
المغنية المشهورة بتشجع نفسها قبل الاستعراض,231,0,0,0,0,0,0,0,1,,
المجرم المسجون بيحاسب نفسه على الحبسة,224,1,0,0,0,0,0,0,0,,
الأم القلوقة بتحاسب نفسها علي الحوادث,225,0,1,0,0,0,0,0,0,,
الولد الصغير بيرسم نفسه في الرسماة,226,0,0,1,0,0,0,0,0,,
الرسامة المعروفة بترسم نفسها عشان تتشهر,227,0,0,0,1,0,0,0,0,,
الكاتب المحبوب بيتحدى نفسه عشان يتحسن,228,0,0,0,0,1,0,0,0,,
الممرضة المبتدئة بتتحدى نفسها في الشغل,229,0,0,0,0,0,1,0,0,,
السواء الاوبر بيراجع نفسه قبل الرحلة,230,0,0,0,0,0,0,1,0,,
المحامي المتوتر بيراجع نفسه قبل الجلسة,231,0,0,0,0,0,0,0,1,,
الموسيقار الحساس بيسمع نفسه في التسجيلات,224,1,0,0,0,0,0,0,0,,
الممثلة الصوتية بتسمع نفسها في الافلام,225,0,1,0,0,0,0,0,0,,
الراجل اللغني بيدلع نفسة بعد الشأة,226,0,0,1,0,0,0,0,0,,
العروسة الجديدة بتدلع نفسها قبل الفرح,227,0,0,0,1,0,0,0,0,,
الصيدلي العيان بيعالج نفسه في الصيدلية,228,0,0,0,0,1,0,0,0,,
الدكتورة الكبيرة بتعالج نفسها في المستشفى,229,0,0,0,0,0,1,0,0,,
السواق الجديد بيطمن نفسه قبل الامتحان,230,0,0,0,0,0,0,1,0,,
المريضة المتوترة بتطمن نفسها بعد العلاج,231,0,0,0,0,0,0,0,1,,
المهندس الذكي بيجهز نفسه قبل المشروع,224,1,0,0,0,0,0,0,0,,
الجراحة الحريصة بتجهز نفسها قبل العملية,225,0,1,0,0,0,0,0,0,,
العجوز الحكيم بيعلم نفسه من الحياة,226,0,0,1,0,0,0,0,0,,
الممثلة القديرة بتعلم نفسها من الأدوار,227,0,0,0,1,0,0,0,0,,
المدرس المضغوط بيريح نفسة بعد الامتحانات,228,0,0,0,0,1,0,0,0,,
الخياطة المعروفة بدرب نفسها في التطريز,229,0,0,0,0,0,1,0,0,,
الغطاس القديم بيحمي نفسه من الخطر,230,0,0,0,0,0,0,1,0,,
الباريستا المحترف بيدرب نفسه لنقش القهوه,231,0,0,0,0,0,0,0,1,,
المجرم الجريئ يهيئ نفسه قبل الجريمة,224,1,0,0,0,0,0,0,0,,
الممثل المتحمس يراجع نفسه قبل المسرحيه,225,0,1,0,0,0,0,0,0,,
كل مبرمج محترف بيدرب نفسه على البروجرام,226,0,0,1,0,0,0,0,0,,
الطالبة المجتهده بتعلم نفسها بعد الحصة,227,0,0,0,1,0,0,0,0,,
الممرض المنتبه بينظف نفسه بين الشفتات,228,0,0,0,0,1,0,0,0,,
الشخص الخويف بيشجع نفسه قبل المواخها,229,0,0,0,0,0,1,0,0,,
الرسام الصبور بيعلم نفسه على مهله,230,0,0,0,0,0,0,1,0,,
الرياضي المهتم بيجهز نفسه قبل المسابقة,231,0,0,0,0,0,0,0,1,,
المتسلق الخبير بيحمي نفسه قبل التسلق,224,1,0,0,0,0,0,0,0,,
الام المقصره بتسامح نفسها على التقصير,225,0,1,0,0,0,0,0,0,,
الاب الغايب بيلوم نفسه على الغياب,226,0,0,1,0,0,0,0,0,,
المجرم السفاح بيخبي نفسه من المباحث,227,0,0,0,1,0,0,0,0,,
الدكتورة التجميل بتجمل نفسها عشان التسويق,228,0,0,0,0,1,0,0,0,,
المريض المعدي بيحبس نفسه في الحجر,229,0,0,0,0,0,1,0,0,,
الموظف الناجح بيلزم نفسه عشان النجاح,230,0,0,0,0,0,0,1,0,,
الطالب المتوتر بيطمن نفسه بعد الدراسة,231,0,0,0,0,0,0,0,1,,
المدير المهموم بيهلك نفسه عشان النجاح,224,1,0,0,0,0,0,0,0,,
الدكتور الغلطان بيعاتب نفسه بعد العمليات,225,0,1,0,0,0,0,0,0,,
السواق المشتت بيعاتب نفسه بعد الحودثة,226,0,0,1,0,0,0,0,0,,
الممثل المغرور بيمدح نفسه بعد العرض,227,0,0,0,1,0,0,0,0,,
الشيف المحترف بيطور نفسه في المطعم,228,0,0,0,0,1,0,0,0,,
المصوره المبدعه بتدرب نفسها على زوايا,229,0,0,0,0,0,1,0,0,,
المغنية المشهوره بتهيء نفسها قبل الحفلة,230,0,0,0,0,0,0,1,0,,
المدرسة المرتبة بتراجع نفسها قبل الحصص,231,0,0,0,0,0,0,0,1,,
الطفله الصغيرة بتاكل نفساه عشان تتعلم,224,1,0,0,0,0,0,0,0,,
المبتدئ المصر بيعلم نفسه عشان التطور,225,0,1,0,0,0,0,0,0,,
الرسامه المبهره بتنظف نفسها بعد الرسم,226,0,0,1,0,0,0,0,0,,
الرياضيه المبتدأه بيهيأ نفسها قبل التمرين,227,0,0,0,1,0,0,0,0,,
المحاسبه الجديده بتلعم نفسها عشان التفوق,228,0,0,0,0,1,0,0,0,,
المسافره المتحمسه بتجهز نفسها قبل الرحلة,229,0,0,0,0,0,1,0,0,,
العالمة الحرصه بتحمي نفسها قبل التجارب,230,0,0,0,0,0,0,1,0,,
المدمن المتعالج بيسامح نفسه عشان التحسن,231,0,0,0,0,0,0,0,1,,
المحامية المهمله بتلوم نفسها على الخساره,224,1,0,0,0,0,0,0,0,,
الطفلة الشقيه بتخبي نفسها من العقاب,225,0,1,0,0,0,0,0,0,,
الممثل المخلص بيجمل نفسه عشان الدور,226,0,0,1,0,0,0,0,0,,
الممرضه المصابة بتحبس نفسها في المستشفى,227,0,0,0,1,0,0,0,0,,
الملكة المخلصة بتحسن نفسها عشان الشعب,228,0,0,0,0,1,0,0,0,,
المديره المهتمه بتطمن نفسها بعد النجاح,229,0,0,0,0,0,1,0,0,,
المستشاره المتعمقة بتهلك نفسها عشلن العميل,230,0,0,0,0,0,0,1,0,,
القائدة المهتمه بتعاتب نفسها بعد الفشل,231,0,0,0,0,0,0,0,1,,
المربية المسؤوله بتحمل نفسها عشان الولاد,224,1,0,0,0,0,0,0,0,,
الرياضة الحريفة بتمدح نفسها عشان تفوز,225,0,1,0,0,0,0,0,0,,
المحامية الشغوفه بتطور نفسها مع القضايا,226,0,0,1,0,0,0,0,0,,
المسلم الملتزم بيفكر نفسه عشان الصلاة,227,0,0,0,1,0,0,0,0,,
